run,run_short,raw_step,effective_step,metric,value
Pure Stage1 beta=0.1,stage1,45,45,rollout correct ratio,0.47265625
Pure Stage1 beta=0.1,stage1,45,45,actor grad norm,34.43742370605469
Pure Stage1 beta=0.1,stage1,46,46,response length mean,352.689453125
Pure Stage1 beta=0.1,stage1,46,46,response clip ratio,0.009765625
Pure Stage1 beta=0.1,stage1,46,46,rollout correct ratio,0.568359375
Pure Stage1 beta=0.1,stage1,46,46,actor grad norm,33.089595794677734
Pure Stage1 beta=0.1,stage1,47,47,response length mean,302.623046875
Pure Stage1 beta=0.1,stage1,47,47,response clip ratio,0.0
Pure Stage1 beta=0.1,stage1,47,47,rollout correct ratio,0.6875
Pure Stage1 beta=0.1,stage1,47,47,actor grad norm,27.88103485107422
Pure Stage1 beta=0.1,stage1,48,48,response length mean,356.953125
Pure Stage1 beta=0.1,stage1,48,48,response clip ratio,0.009765625
Pure Stage1 beta=0.1,stage1,48,48,rollout correct ratio,0.568359375
Pure Stage1 beta=0.1,stage1,48,48,actor grad norm,30.919321060180664
Pure Stage1 beta=0.1,stage1,49,49,response length mean,359.33984375
Pure Stage1 beta=0.1,stage1,49,49,response clip ratio,0.01953125
Pure Stage1 beta=0.1,stage1,49,49,rollout correct ratio,0.578125
Pure Stage1 beta=0.1,stage1,49,49,actor grad norm,34.65280532836914
Pure Stage1 beta=0.1,stage1,50,50,response length mean,346.685546875
Pure Stage1 beta=0.1,stage1,50,50,response clip ratio,0.00390625
Pure Stage1 beta=0.1,stage1,50,50,rollout correct ratio,0.615234375
Pure Stage1 beta=0.1,stage1,50,50,actor grad norm,31.421785354614258
Pure Stage1 beta=0.1,stage1,51,51,response length mean,381.11328125
Pure Stage1 beta=0.1,stage1,51,51,response clip ratio,0.013671875
Pure Stage1 beta=0.1,stage1,51,51,rollout correct ratio,0.599609375
Pure Stage1 beta=0.1,stage1,51,51,actor grad norm,32.55976486206055
Pure Stage1 beta=0.1,stage1,52,52,response length mean,334.775390625
Pure Stage1 beta=0.1,stage1,52,52,response clip ratio,0.009765625
Pure Stage1 beta=0.1,stage1,52,52,rollout correct ratio,0.55078125
Pure Stage1 beta=0.1,stage1,52,52,actor grad norm,27.23468589782715
Pure Stage1 beta=0.1,stage1,53,53,response length mean,353.80859375
Pure Stage1 beta=0.1,stage1,53,53,response clip ratio,0.013671875
Pure Stage1 beta=0.1,stage1,53,53,rollout correct ratio,0.59375
Pure Stage1 beta=0.1,stage1,53,53,actor grad norm,29.42422866821289
Pure Stage1 beta=0.1,stage1,54,54,response length mean,403.28515625
Pure Stage1 beta=0.1,stage1,54,54,response clip ratio,0.015625
Pure Stage1 beta=0.1,stage1,54,54,rollout correct ratio,0.501953125
Pure Stage1 beta=0.1,stage1,54,54,actor grad norm,38.102256774902344
Pure Stage1 beta=0.1,stage1,55,55,response length mean,344.515625
Pure Stage1 beta=0.1,stage1,55,55,response clip ratio,0.013671875
Pure Stage1 beta=0.1,stage1,55,55,rollout correct ratio,0.52734375
Pure Stage1 beta=0.1,stage1,55,55,actor grad norm,30.769947052001953
Pure Stage1 beta=0.1,stage1,56,56,response length mean,355.7578125
Pure Stage1 beta=0.1,stage1,56,56,response clip ratio,0.0078125
Pure Stage1 beta=0.1,stage1,56,56,rollout correct ratio,0.595703125
Pure Stage1 beta=0.1,stage1,56,56,actor grad norm,31.130449295043945
Pure Stage1 beta=0.1,stage1,57,57,response length mean,420.02734375
Pure Stage1 beta=0.1,stage1,57,57,response clip ratio,0.01953125
Pure Stage1 beta=0.1,stage1,57,57,rollout correct ratio,0.58984375
Pure Stage1 beta=0.1,stage1,57,57,actor grad norm,31.087997436523438
Pure Stage1 beta=0.1,stage1,58,58,response length mean,303.34765625
Pure Stage1 beta=0.1,stage1,58,58,response clip ratio,0.0
Pure Stage1 beta=0.1,stage1,58,58,rollout correct ratio,0.611328125
Pure Stage1 beta=0.1,stage1,58,58,actor grad norm,29.298702239990234
