run,run_short,lambda,raw_step,effective_step,metric,value
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,25,65,rollout correct ratio,0.509765625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,25,65,response length mean,500.759765625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,26,66,rollout correct ratio,0.515625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,26,66,response length mean,462.662109375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,27,67,rollout correct ratio,0.61328125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,27,67,response length mean,399.21875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,28,68,rollout correct ratio,0.556640625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,28,68,response length mean,534.34375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,29,69,rollout correct ratio,0.537109375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,29,69,response length mean,528.986328125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,30,70,HumanEval+ extraction fail,0.012195121951219513
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,30,70,MBPP+ extraction fail,0.0291005291005291
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,30,70,LiveCodeBench extraction fail,0.3359375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,30,70,rollout correct ratio,0.603515625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,30,70,response length mean,636.33203125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,31,71,rollout correct ratio,0.634765625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,31,71,response length mean,759.00390625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,32,72,rollout correct ratio,0.607421875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,32,72,response length mean,464.841796875
